time,left,right,total
1689369548.8,0, 1, 1
1689369548.9,0, 1, 1
1689369549.0,0, 1, 1
1689369549.1,0, 1, 1
1689369549.2,0, 1, 1
1689369549.3,0, 1, 1
1689369549.4,0, 1, 1
1689369549.5,0, 1, 1
1689369549.6,0, 1, 1
1689369549.7,0, 1, 1
1689369549.8,0, 1, 1
1689369549.9,0, 1, 1
1689369550.0,0, 1, 1
1689369550.1,0, 1, 1
1689369550.2,0, 1, 1
1689369550.3,0, 1, 1
1689369550.4,0, 1, 1
1689369550.5,0, 1, 1
1689369550.6,0, 1, 1
1689369550.7,0, 1, 1
1689369550.8,0, 1, 1
1689369550.9,0, 1, 1
1689369551.0,0, 1, 1
1689369551.1,0, 1, 1
1689369551.2,0, 1, 1
1689369551.3,0, 1, 1
1689369551.4,0, 1, 1
1689369551.5,0, 1, 1
1689369551.6,0, 1, 1
1689369551.7,0, 1, 1
1689369551.8,0, 1, 1
1689369551.9,0, 1, 1
1689369552.0,0, 1, 1
1689369552.1,0, 1, 1
1689369552.2,0, 1, 1
1689369552.3,0, 1, 1
1689369552.4,0, 1, 1
1689369552.5,0, 1, 1
1689369552.6,0, 1, 1
1689369552.7,0, 1, 1
1689369552.8,0, 1, 1
1689369552.9,0, 1, 1
1689369553.0,0, 1, 1
1689369553.1,0, 1, 1
1689369553.2,0, 1, 1
1689369553.3,1, 0, 1
1689369553.4,1, 0, 1
1689369553.5,1, 0, 1
1689369553.6,1, 0, 1
1689369553.7,1, 0, 1
1689369553.8,1, 0, 1
1689369553.9,1, 0, 1
1689369554.0,1, 0, 1
1689369554.1,1, 0, 1
1689369554.2,1, 0, 1
1689369554.3,1, 0, 1
1689369554.4,1, 0, 1
1689369554.5,1, 0, 1
1689369554.6,1, 0, 1
1689369554.7,1, 0, 1
1689369554.8,1, 0, 1
1689369554.9,1, 0, 1
1689369555.0,1, 0, 1
1689369555.1,1, 0, 1
1689369555.2,1, 0, 1
1689369555.3,1, 0, 1
1689369555.4,1, 0, 1
1689369555.5,1, 0, 1
1689369555.6,1, 0, 1
1689369555.7,1, 0, 1
1689369555.8,1, 0, 1
1689369555.9,1, 0, 1
1689369556.0,1, 0, 1
1689369556.1,1, 0, 1
1689369556.2,1, 0, 1
1689369556.3,1, 0, 1
1689369556.4,1, 0, 1
1689369556.5,1, 0, 1
1689369556.6,1, 0, 1
1689369556.7,0, 0, 0
1689369556.8,0, 0, 0
1689369556.9,0, 0, 0
1689369557.0,0, 0, 0
1689369557.1,0, 0, 0
1689369557.2,0, 0, 0
1689369557.3,0, 0, 0
1689369557.4,0, 0, 0
1689369557.5,0, 0, 0
1689369557.6,0, 0, 0
1689369557.7,0, 0, 0
1689369557.8,0, 0, 0
1689369557.9,0, 0, 0
1689369558.0,0, 0, 0
1689369558.1,0, 0, 0
1689369558.2,0, 0, 0
1689369558.3,0, 0, 0
1689369558.4,0, 0, 0
1689369558.5,0, 0, 0
1689369558.6,0, 0, 0
1689369558.7,0, 0, 0
1689369558.8,0, 0, 0
1689369558.9,0, 0, 0
1689369559.0,0, 0, 0
1689369559.1,0, 0, 0
1689369559.2,0, 0, 0
1689369559.3,0, 0, 0
1689369559.4,0, 0, 0
1689369559.5,0, 0, 0
